命令,别名,功能说明,命令行,参数,default,leexioua,huawei
alert,echo,弹窗提示,内置动作 弹窗消息,消息内容,√,,
amap,,高德地图搜索,https://ditu.amap.com/search?query={%p},搜索关键词,√,,
baidu,b,百度搜索,https://www.baidu.com/s?wd={%p},搜索关键词,√,,
bg,,百度谷歌搜索,b({%p});g({%p}),搜索关键词,√,,
bili,,B站搜索,https://search.bilibili.com/all?keyword={%p},搜索关键词,√,,
bmap,map,百度地图搜索,https://map.baidu.com/?newmap=1&ie=utf-8&s=s%26wd%3D{%p},搜索关键词,√,,
book,,书籍搜索,https://search.douban.com/book/subject_search?search_text={%p},搜索关键词,√,,
cfg,set,xfold.ini配置,edit(%A_ScriptDir%\xfold.ini),无,√,,
cmds,,xfold命令行参考,"preview(%A_ScriptDir%\docs\xfold-cmd.csv);delay(500,winmax)",无,√,,
cmdsd,,xfold命令行参考-default,"preview(%A_ScriptDir%\docs\xfold-cmd-default.csv);delay(500,winmax)",无,√,,
debug,,切换调试模式,loglevel(debug),无,√,,
deepl,"fanyi,fy,translate",DEEPL翻译,https://www.deepl.com/translator#en/zh/{%p},搜索关键词,√,,
douban,"d,db",豆瓣搜索,https://www.douban.com/search?q={%p},搜索关键词,√,,
find,,搜索文件,"find=findIt({%p},0)",文件名搜索关键词,√,,
findit,"f,file",搜索文件,内置动作 Everything文件搜索，截取文件名,文件名搜索关键词,√,,
forvo,vo,Forvo发音搜索,https://forvo.com/search/{%p},搜索关键词,√,,
ft,,搜索窗口标题文件,"value(keyword,title());delay(100,find(value(keyword)))",无,√,,
g,,谷歌搜索,https://www.google.com/search?q={%p},搜索关键词,√,,
gb,,谷歌百度搜索,g({%p});b({%p}),搜索关键词,√,,
gi,,谷歌图片搜索,https://www.google.com/search?q={%p}&tbm=isch,搜索关键词,√,,
github,gh,Github搜索,https://github.com/search?q={%p},搜索关键词,√,,
gmap,,谷歌地图搜索,https://maps.google.com/maps?q={%p}&um=1,搜索关键词,√,,
h,help,xfold帮助文档,open(%A_ScriptDir%\docs\README.pdf);open(%A_ScriptDir%\docs\xfold-shortcuts.pdf),无,√,,
info,,Tooltip提示信息,内置动作 Tooltip提示,提示内容,√,,
keys,,打开快捷键定义文件,edit(%A_ScriptDir%\keys.txt),无,√,,
movie,,电影搜索,https://search.douban.com/movie/subject_search?search_text={%p}&cat=1002,搜索关键词,√,,
nothing,n,空任务 不执行任何动作,内置动作 不作任何动作,任意,√,,
open,"o,r,run",打开文件/网址/程序/xfold-cmd等,内置动作 打开运行,文件名/网址/注册表路径/xfold-cmd,√,,
openx,s,执行命令行，将选择的文本作为参数输入,"open({p},{x})",命令行,√,,
preview,,文件预览,内置动作 文件预览,完整文件路径,√,,
process,p,获取应用进程名称,内置动作 复制当前应用进程名称,无,√,,
show,,显示窗口,内置动作 显示窗口,窗口标题包含的文本,√,,
title,t,获取窗口名称,内置动作 复制当前窗口标题,无,√,,
top,,窗口置顶,内置动作 窗口置顶切换,无,√,,
vgo,v,执行命令行 @%temp%/xfold.values.ini,"open(vget({%p},"""",vgo))",vgo命令,√,,
wiki,,维基百科搜索,https://en.wikipedia.org/wiki/{%p},搜索关键词,√,,
winmax,max,窗口最大化,内置动作 窗口最大化,无,√,,
winmin,min,窗口最小化,内置动作 窗口最小化,无,√,,
winrestore,restore,窗口恢复大小,内置动作 恢复窗口大小,无,√,,
wx,,搜狗微信搜索,https://weixin.sogou.com/weixin?type=2&query={%p},搜索关键词,√,,
xedit,"a,edit",文本编辑打开,内置动作 文本编辑器打开,完整文件路径,√,,
ygen,,Youglish英语搜索,https://youglish.com/pronounce/{%p}/english?,搜索关键词,√,,
youdao,"e,en",有道英语搜索,https://youdao.com/result?lang=en&word={%p},搜索关键词,√,,
youtube,"y,you",Youtube搜索,https://www.youtube.com/results?search_query={%p},搜索关键词,√,,
zhihu,"z,zh",知乎搜索,https://www.zhihu.com/search?type=content&q={%p},搜索关键词,√,,
activateChromeTab,chrometab,激活chrome页签,内置动作 激活chrome页签,标题关键词,,√,
ahkhelp,,AHK中文帮助,open(%A_AhkPath%\..\AutoHotkey-cn.chm),无,,√,
alist,,alist笔记,open(D:\Links\gtd-cmd-v2.bat alist -hidden),无,,√,
amap,map,高德地图搜索,https://ditu.amap.com/search?query={%p},搜索关键词,,√,
amapn,,高德地图搜索-南京,https://ditu.amap.com/search?query=南京%20{%p},搜索关键词,,√,
annotation,an,搜索带标记的笔记,xx gtd @*:,无,,√,
baike,bk,百度百科搜索,https://baike.baidu.com/search?word={%p},搜索关键词,,√,
base64,,base64编码,内置函数 base64编码,字符串,,√,
base64decode,,base64解码,内置函数 base64解码,字符串,,√,
bay,,海盗湾搜索,https://thehiddenbay.com/search/{%p},搜索关键词,,√,
bfn,,切换\作为LButton替换键,fnBackslash_toggleOnOff,无,,√,
bks,,书籍本地搜索,find path:D:\2Books|D:\downloads|Z:\aria2 {%p},搜索关键词,,√,
bmapn,,百度地图搜索-南京,https://map.baidu.com/?newmap=1&ie=utf-8&s=s&wd=南京%20{%p},搜索关键词,,√,
cmds,,xfold命令行参考,"preview(%A_ScriptDir%\docs\xfold-cmd.csv);delay(300,showQuickLook);delay(500,winmax)",无,,√,
cmdsd,,xfold命令行参考-default,"preview(%A_ScriptDir%\docs\xfold-cmd-default.csv);delay(300,showQuickLook);delay(500,winmax)",无,,√,
cmdsl,,xfold命令行参考-leexioua,"preview(%A_ScriptDir%\docs\xfold-cmd-leexioua.csv);delay(300,showQuickLook);delay(500,winmax)",无,,√,
cmdsw,,xfold命令行参考-work,"preview(%A_ScriptDir%\docs\xfold-cmd-work.csv);delay(300,showQuickLook);delay(500,winmax)",无,,√,
copytrans,,复制到sublimetext,"copyTitleText;delaycb(50,cbcopytrans,show,exe:sublime);callback(cbcopytrans,delayif,600,exe:sublime,send,^{end}{enter}{home}```js{enter}^v{enter}{home}```{enter})",无,,√,
cxkeys,,Capslock+按键帮助,"preview(D:\2Assort\cheatsheet\Capslock+.png);delay(500,showQuickLook)",无,,√,
dida365,,滴答清单,https://dida365.com/webapp,无,,√,
diff,,搜索词语辨析-en,g difference between {%p},搜索关键词,,√,
diffz,,搜索词语辨析-zh,g {%p}的区别,搜索关键词,,√,
dls,downloads,打开下载目录,D:\Downloads,无,,√,
esc,,Escape键,"send({esc},100)",无,,√,
eudicQuery,"e,en,eu,eudicQ",欧路查词,内置动作 欧路词典英语查词,搜索关键词,,√,
gtd,md,gtd笔记搜索,"finditByEverything(""ext:md dm:>=202001 path:D:\Onebox\Workspace|D:\2Assort {%p}"",0)",搜索关键词,,√,
gtd-clue,gtd-aclue,gtd笔记-clue,"D:\Links\gtd-cmd-v2.bat clue ""{%p}""",文件名,,√,
gtd-dida,,gtd笔记-dida,"D:\Links\gtd-cmd-v2.bat dida ""{%p}""",文件名,,√,
gtd-future,,gtd笔记-future,"D:\Links\gtd-cmd-v2.bat future ""{%p}""",文件名,,√,
gtd-idea,,gtd笔记-idea,"D:\Links\gtd-cmd-v2.bat idea ""{%p}""",文件名,,√,
gtd-inbox,gtd-in,gtd笔记-inbox,"D:\Links\gtd-cmd-v2.bat inbox ""{%p}""",文件名,,√,
gtd-index,,gtd笔记-index,"D:\Links\gtd-cmd-v2.bat index ""{%p}""",文件名,,√,
gtd-mom,,gtd笔记-mom,"D:\Links\gtd-cmd-v2.bat mom ""{%p}""",文件名,,√,
gtd-next,,gtd笔记-next,"D:\Links\gtd-cmd-v2.bat next ""{%p}""",文件名,,√,
gtd-ongoing,gtd-now,gtd笔记-now,"D:\Links\gtd-cmd-v2.bat now ""{%p}""",文件名,,√,
gtd-project,gtd-projects,gtd笔记-project,"D:\Links\gtd-cmd-v2.bat project ""{%p}""",文件名,,√,
gtd-read,gtd-reading,gtd笔记-read,"D:\Links\gtd-cmd-v2.bat read ""{%p}""",文件名,,√,
gtd-wait,,gtd笔记-wait,"D:\Links\gtd-cmd-v2.bat wait ""{%p}""",文件名,,√,
habit,,习惯养成 habits.md,D:\2Assort\Workspace\1=Inbox\habits.md,无,,√,
hifini,song,搜歌,https://www.hifini.com/search-{%p}.htm,搜索关键词,,√,
ideas,,笔记-flash ideas,xedit(D:\2Assort\Workspace\8=Idea\flash-ideas.md),无,,√,
jd,,京东搜索,https://search.jd.com/Search?keyword={%p},搜索关键词,,√,
lrc,,歌词搜索,https://www.google.com/search?q={%p}+歌词,搜索关键词,,√,
luoxue,,洛雪音乐搜索,"show(exe:lx-music-desktop.exe);delayif(300,exe:lx-music-desktop.exe,send,!q,100,cbsong);callback(cbsong,send,^a{%p}{enter})",搜索关键词,,√,
mdc,,MD代码注解,"send(^x);send(```js{enter 2}```{Up}^v,300)",无,,√,
movel,ml,窗口左移屏幕,send(#+{Left}),无,,√,
mover,mr,窗口右移屏幕,send(#+{Right}),无,,√,
my,,2Assort文件搜索,"findit(""file:path:D:\2Assort {%p}"",0)",搜索关键词,,√,
MyLinks,links,打开Links目录,D:\Links,无,,√,
nlog,,打开每日日志,vgo nlog,无,,√,
noteit,,添加笔记,"copyTitleText;delaycb(50,cbNoteit,open,alist);callback(cbNoteit,delayif,600,exe:sublime,send,^{end}{enter}{home}```js{enter}^v{enter}{home}```{enter})",无,,√,
offd,,生成指定偏移日期字符,send(+{home});send(offDate({%p})),距今天偏移天数，过去为负数,,√,
offline,,offline.md,D:\2Assort\Workspace\1=Inbox\offline.md,无,,√,
plan,,计划任务 plan.md,D:\2Assort\Workspace\1=Inbox\plan.md,无,,√,
previewx,xview,QuickLook最大化预览,"delaycb(10,cbpx,preview,{%p});callback(cbpx,runcmds,500,showQuickLook,winmax)",文件名,,√,
push,,push xyz,"ideas;send(^{home}- {%p}{enter}+{home} {bs},300)",条目内容,,√,
pushbook,pushb,push-book,push(@book:);pushitem({%p}),条目内容,,√,
pushdida,pushd,push-dida,push(@dida:);pushitem({%p}),条目内容,,√,
pushhabit,pushh,push-habit,push(@habit:);pushitem({%p}),条目内容,,√,
pushidea,pushi,push-idea,push(@idea:);pushitem({%p}),条目内容,,√,
pushitem,,push sub fn internal,"nothing({%p});vclip(vparam);send(^{home}{end}{space}^v,500)",条目内容,,√,
pushplan,pushp,push-plan,push(@plan:);pushitem({%p}),条目内容,,√,
pushquestion,pushq,push-question,push(@question:);pushitem({%p}),条目内容,,√,
pushreview,pushr,push-review,push(@review:);pushitem({%p}),条目内容,,√,
pushthink,,push-think,push(@think:);pushitem({%p}),条目内容,,√,
pushtodo,pusht,push-todo,"push([ ] @todo:);vclip(vparam);send(^{home}{end}{space}^v @,500,strd);callback(strd,send,offDate())",条目内容,,√,
pushword,pw,push-word,push(@word:);pushitem({%p}),条目内容,,√,
qevernote,q,印象笔记搜索,"safeActivate(%evernote%);sendif(exe:Evernote,{F6}{%p}{enter},500)",搜索关键词,,√,
qindex,,Quick-index,D:\2Assort\Quick-index.xlsm,无,,√,
qlk,,QuickLook窗口切换,showQuickLook,无,,√,
qs,,搜索快速入门,g {%p} quick start,搜索关键词,,√,
qtag,,印象笔记标签搜索,"safeActivate(%Evernote%);sendif(exe:Evernote,{F6}tag:{%p}{enter},500)",搜索关键词,,√,
qtitle,qt,印象笔记标题搜索,"safeActivate(%Evernote%);sendif(exe:Evernote,{F6}intitle:{%p}{enter},500)",搜索关键词,,√,
review,,过去7日修改的笔记回顾,find file:path:D:\2Assort\Workspace dm:last7days,无,,√,
safeActivate,"a,active,activate",切换打开应用程序,内置动作 切换打开应用程序,完整文件路径,,√,
setx,,查找xfold配置,f xfold*.ini,无,,√,
sfn,,切换SpaceFn开关,spaceFn_toggleOnOff,无,,√,
snp,,Snipaste保存查看,"find(Snipaste_);sendif(exe:everything.exe,datestr(yyyyMM),500)",无,,√,
so,,切换SwitchOn开关,toggleSwitchOn,无,,√,
sokeys,,SwitchOn快捷键定义信息,alert(getSwitchOnKeysTips()),无,,√,
std,,搜索缩写,g what does {%p} stand for,搜索关键词,,√,
text,,Filelocator快速搜索,"delaycb(50,cbLocator,show,exe:FileLocatorPro.exe);callback(cbLocator,delayif,200,exe:FileLocatorPro,send,^n!c,100,cbText);callback(cbText,send,{%p}{enter});delayif(300,!exe:FileLocatorPro.exe,runcmds,2000,xx gtd,text {%p})",搜索关键词,,√,
todo,,待办事项 todo.md,edit(D:\2Assort\Workspace\1=Inbox\todo.md),搜索关键词,,√,
tools,,打开软件工具目录,%ProgramxFiles%,无,,√,
tosave,,保存文本到当前SublimeText窗口,"copyTitleText;delaycb(50,cbcopytrans,show,exe:sublime);callback(cbcopytrans,delayif,600,exe:sublime,send,^{end}{enter}{home}```js{enter}^v{enter}{home}```{enter})",无,,√,
urldecode,urlde,url解码,内置函数 url解码,字符串,,√,
urlencode,urlen,url编码,内置函数 url编码,字符串,,√,
values,,本地配置项打开修改,xedit %Temp%\xfold.values.ini,无,,√,
vcollect,vcol,收藏笔记预览-collection,xview(D:\2Assort\Workspace\#notes-list.md),条目内容,,√,
ws,,打开gtd目录,D:\2Assort\Workspace,无,,√,
x,,locator文本内容搜索-all,%AUTOHOTKEY_PATH% D:\Links\filelocator\locator-cmd-x.ahk all {%p},搜索关键词,,√,
xmy,,搜索我的文件,%AUTOHOTKEY_PATH% D:\Links\filelocator\locator-cmd-x.ahk my {%p},搜索关键词,,√,
xx,,locator快捷搜索,%AUTOHOTKEY_PATH% D:\Links\filelocator\locator-cmd-x.ahk {%p},分类及搜索关键词,,√,
xxset,,locator快捷搜索分类配置,edit(D:\Links\settings-ahk.ini),无,,√,
youhis,,Youtube历史搜索,"open(format(https://www.youtube.com/feed/history?query={},urlencode({%p})))",搜索关键词,,√,
yz,,影子输入法自定义词汇,edit(D:\ProgramxFiles\Yzime\Data\leexioua\customs.csv),无,,√,
ali,,阿里公有云搜索,"open(format(https://www.alibabacloud.com/zh/search?_p_lc=1&k={},base64({%p})))",,,,√
arch,,谷歌架构图搜索,gi architecture of {%p},搜索关键词,,,√
aws,,Amazon公有云搜索,https://aws.amazon.com/search/?searchQuery={%p},搜索关键词,,,√
awsz,,Amazon公有云搜索-中文,https://www.amazonaws.cn/search/?searchQuery={%p},搜索关键词,,,√
az,,Azure公有云搜索,https://azure.microsoft.com/en-us/search/?q={%p},搜索关键词,,,√
azz,,Azure公有云搜索-中文,https://azure.microsoft.com/cn-zh/search/?q={%p},搜索关键词,,,√
clue,,EI-Oversea-PE.xmind,D:\Onebox\Workspace\6=Archives\EI\EI-Oversea-PE.xmind,无,,,√
coa,,COA编码搜索,https://pbi.huawei.com/pbiops/offering-coa/detail/offering-coa-information/?entityNo={%p},搜索关键词,,,√
daily,,daily回顾,edit(%WORKSPACE_HOME%\9=AList\daily-retrospect.md),无,,,√
ei,,EI-links.md,%WORKSPACE_HOME%\6=Archives\EI\EI-links.md,无,,,√
eid,,EI工作目录,D:\Onebox\Workspace\6=Archives\EI,无,,,√
eim,,EI资料,open(D:\Onebox\Workspace\6=Archives\EI\EI-materials.md),无,,,√
hc,,华为公有云搜索,"open(format(https://www.huaweicloud.com/s/{},RegExReplace(base64(%{%p}%),=+$)))",,,,√
hr,,iHR信息搜索,http://hr.huawei.com/main/#/SearchEmp?searchStr={%p},无,,,√
hwfy,fy,华为翻译,"send(^c);open(https://translate.huawei.com);sendif(Huawei Translate,^v,2000)",无,,,√
is,,isales合同搜索,http://isales.huawei.com/isales/aisearch/#/UI-contractSearch?searchText={%p}&fromlocale,搜索关键词,,,√
isc,,isc合同搜索,https://isc.huawei.com/iscp/app/#/pas/ProductAmountSplitContractDetail?isSubModule=1&contractNumber={%p},搜索关键词,,,√
mail,,outlook邮件搜索,%MyLinks%\work-x1\mail-cmd.ahk {%p},搜索关键词,,,√
notesbak,,笔记归档,preview(D:\Onebox\Archives\MyNotes\notes-archives-20230707-all.csv),无,,,√
pipe,,SA项目管道搜索,"show(title:pipeline-data-2024.xlsx);delayif(300,title:pipeline-data-2024.xlsx,send,^f,100,cbkeyword);callback(cbkeyword,send,^a{%p}{enter})",无,,,√
sa,,SA团队空间,https://onebox.huawei.com/#teamspaceFile/1/0/10211249,无,,,√
sac,,SA团队空间-core,https://onebox.huawei.com/#teamspaceFile/1/0/11440365,无,,,√
saprj,,SA项目管道,https://onebox.huawei.com/v/2cfd3bdeda21d3ed4a71595f01e44b40?type=0,无,,,√
summary,sum,总结目录,D:\Onebox\Workspace\6=Archives\EI\06 Summary,无,,,√
team,,EI团队阵型.xlsx,D:\Onebox\Workspace\6=Archives\EI\EI团队阵型.xlsx,无,,,√
term,sy,华为述语搜索,http://3ms.huawei.com/term/#/main/termSearch?searchValue={%p},搜索关键词,,,√
thinking,,工作梳理思考,ashow D:\Workspace\6=Archive\EI\工作梳理思考-2024.xmind,无,,,√
track,,项目跟踪,D:\Workspace\6=Archive\EI\2024海外数据项目跟踪.xlsx,无,,,√
w3,"w,3",w3信息搜索,http://w3.huawei.com/unisearch/index.html?keyword={%p},搜索关键词,,,√
webui,,谷歌用户界面设计搜索,gi Web User Interface of {%p},搜索关键词,,,√
welink,"m,msg",welink发送消息,"send({raw}{%p},300);send(^!d)",搜索关键词,,,√
wtodo,wt,work-todo.xlsx,D:\Onebox\Workspace\6=Archives\EI\work-todo.xlsx,无,,,√
xinsh,,心声社区搜索,https://xinsheng.huawei.com/next/plus/#/search?keyword={%p}&type=all,搜索关键词,,,√
